"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"CGI_10000009" 736.886209915701 4.37334992865392 0.362250162490774 12.0727342082705 1.47162084616685e-33 2.08421184058025e-29
"CGI_10000010" 769.143993189777 2.60449988933177 0.527519621662233 4.9372568950609 7.92290759116334e-07 3.55524318631007e-05
"CGI_10000014" 2158.70151550375 4.11456864340155 0.59729486695982 6.88867236436226 5.63154716087268e-12 1.05684341922263e-09
"CGI_10000031" 31.0157398867365 2.4248707798534 0.555609891776035 4.36434054854959 1.27506813032109e-05 0.000350759651122873
"CGI_10000034" 24.843960742004 -1.64653605236414 0.518699332037596 -3.17435545154085 0.00150169666866702 0.0142004191230825
"CGI_10000038" 442.280996156497 -3.2730320074828 0.370725000968143 -8.82873288538762 1.05868217760233e-18 8.73701528024905e-16
"CGI_10000039" 64.2870261580259 1.80826608969844 0.590338501028259 3.06310038486187 0.00219056562331056 0.0184470823083611
"CGI_10000042" 3923.78207386192 3.06063357666479 0.66511815041146 4.60163893403209 4.19179403157936e-06 0.000139901125803961
"CGI_10000044" 99.323294499693 1.0081548885518 0.352774900872264 2.85778519406867 0.00426609077288066 0.029733260680392
"CGI_10000052" 141.474372787837 -1.70704040394146 0.616901661253207 -2.76711915554529 0.00565540803751816 0.0370016534519567
"CGI_10000068" 1925.42319776799 3.55666213071581 0.671203855026102 5.29892983194725 1.16483384606634e-07 7.00288851297368e-06
"CGI_10000073" 69.0565082912203 2.53666282936614 0.690419306203647 3.67409023266496 0.000238698374884103 0.00353491655334077
"CGI_10000079" 751.436825676061 2.56491735310179 0.522360847816473 4.91024042828522 9.09647935580525e-07 3.94166298768497e-05
"CGI_10000104" 757.140683054827 2.66963713313921 0.528147000221299 5.05472365084078 4.31014406889762e-07 2.1498619701897e-05
"CGI_10000105" 309.700067775698 2.39403260486342 0.505021887430569 4.74045316539385 2.13240741219789e-06 8.16793016368457e-05
"CGI_10000118" 7619.75486803633 2.01443755228693 0.579817324594149 3.47426243894483 0.000512259741867971 0.00634419363803198
"CGI_10000142" 757.167730237443 2.5712866191658 0.519798325682822 4.94670046462362 7.54819896080915e-07 3.44334422945856e-05
"CGI_10000143" 211.794879782682 2.71913462867007 0.609664728283088 4.46004910982399 8.19408746955539e-06 0.000243629520939243
"CGI_10000144" 533.125486876439 -3.03000947611152 0.491230406587596 -6.16820423873988 6.90698947375762e-10 8.30485436328101e-08
"CGI_10000150" 418.983714801554 2.89363957248182 0.649454843288457 4.45549001964498 8.37017899389157e-06 0.000247506465493641
"CGI_10000151" 758.437058631885 2.63732354413679 0.529991244926422 4.97616436004131 6.48565829100667e-07 3.03428451616281e-05
"CGI_10000152" 16029.3797478109 2.81891241819464 0.515473018098702 5.46859354266896 4.53620645763096e-08 3.10790054508482e-06
"CGI_10000154" 426.198378730669 1.83319101498491 0.623225740602507 2.94145587313621 0.0032667338215017 0.0245600350617621
"CGI_10000155" 1155.43879036259 2.38784446429176 0.464716011367468 5.138287482855 2.77253505465466e-07 1.47187562726053e-05
"CGI_10000165" 57.1222916261774 -1.53869054764881 0.404779106275389 -3.80130921728449 0.00014393354255956 0.00239748385202879
"CGI_10000166" 72.0939115320227 -2.23529125610855 0.524491675830785 -4.26182408437253 2.02765033089448e-05 0.000513445180023992
"CGI_10000167" 26.2498737097297 -2.95567990125405 0.687971530415642 -4.29622414675846 1.73731919899891e-05 0.000449968150884797
"CGI_10000168" 368.509348546243 -2.06318063687058 0.555825696374509 -3.7119202122682 0.000205692832972741 0.00316756494949371
"CGI_10000170" 18.25136647664 2.1301809063237 0.577955655121593 3.68571686676471 0.000228059784346109 0.0034079452218831
"CGI_10000183" 18.9133672230785 1.83905909826177 0.590045432590987 3.11680931108332 0.00182819783600529 0.0163109385309641
"CGI_10000185" 77.7955397603125 4.80606825033121 0.744229233194974 6.45777945284247 1.06250430934661e-10 1.55571195487879e-08
"CGI_10000187" 92.8885292370538 1.31409921498289 0.492238852459561 2.66963732833512 0.00759332147010406 0.0455298363973611
"CGI_10000198" 19.581496273046 1.94850365522659 0.685091977819653 2.84414898774296 0.00445302203362665 0.0307410905104659
"CGI_10000203" 306.653792440567 2.44804734920771 0.512020636456971 4.78114977190659 1.74295443778199e-06 6.8347906635788e-05
"CGI_10000204" 887.830813429093 2.44478745274203 0.584793940300387 4.18059641911856 2.90745494099066e-05 0.000685555219592551
"CGI_10000205" 364.954359491479 2.17777464758134 0.633774883458989 3.43619588661446 0.000589944257798939 0.00709071292983373
"CGI_10000207" 351.019471656495 2.12325672422043 0.641946286411526 3.30753019242376 0.000941225652294678 0.010040477639872
"CGI_10000208" 569.253259177864 2.27627154741975 0.594713079066301 3.82751216938677 0.000129444986130774 0.00219440071726456
"CGI_10000215" 46.751753047612 1.76069445907954 0.42960166160233 4.09843493740804 4.15953122134399e-05 0.000897983934063276
"CGI_10000238" 326.404102623063 2.40027223376606 0.50917871814256 4.71400737745294 2.42891862835044e-06 8.96330215779076e-05
"CGI_10000239" 359.727951201727 2.13638066615798 0.612038602551867 3.49059790877641 0.000481940987068514 0.00603040700290554
"CGI_10000253" 733.241918951578 2.53508131384141 0.521124091752052 4.8646404070829 1.14665084338834e-06 4.78588338219739e-05
"CGI_10000254" 142.218293618216 2.386448802889 0.554973815188229 4.30011063148915 1.70712865573514e-05 0.00044404910993592
"CGI_10000272" 513.792360054532 -1.49575905157771 0.342699793011898 -4.36463365919155 1.2733597338175e-05 0.000350759651122873
"CGI_10000281" 221.107640822719 0.987068692633289 0.300254385779131 3.28744138098747 0.00101102234995807 0.0105494952792177
"CGI_10000285" 43.8632523453153 1.48350393999618 0.512641222280006 2.89384441890606 0.00380556672387409 0.0275274380233697
"CGI_10000286" 183.049885175931 -2.2313382629811 0.568905561372418 -3.92215934328056 8.77589209891449e-05 0.0016242109780621
"CGI_10000293" 186.164813949828 -1.54627026988895 0.460638923130188 -3.35679464379942 0.000788516546580942 0.00879380001211522
"CGI_10000300" 166.825532252415 -1.85304112818869 0.52471942567559 -3.53148947326059 0.000413226309199374 0.0053721408601037
"CGI_10000321" 522.4013442333 -2.43538390229572 0.430455111214134 -5.65769539924039 1.53419104110008e-08 1.24351663134879e-06
"CGI_10000334" 297.590233843385 -1.34079731734257 0.384041810714759 -3.49127954283713 0.000480713001329797 0.00602165672761546
"CGI_10000348" 22.3047358823829 1.90248637272384 0.520552180321166 3.65474671828299 0.000257435998872175 0.00374820208141396
